score,canonical_name,primary_state,locations,employees,revenue_est,year_established,school,special_needs,website,rationale
53.0,Hartley School Bus,ND,1,1,42000,,1,0,,1 emp; $0.0M rev; year n/a; single; phone; school
52.5,Dalia Y Eduardo School Bus,FL,2,5,223000,2015,1,0,,5 emp; $0.2M rev; est 2015 (11y); small(2-5); phone; school
52.5,Yoly School Bus,FL,2,4,173000,2018,1,0,,4 emp; $0.2M rev; est 2018 (8y); small(2-5); phone; school
52.5,Lottery School Transportation,NC,1,4,149000,2025,1,0,,4 emp; $0.1M rev; est 2025 (1y); single; phone; school
52.5,Maritza & Miguel School Bus,FL,1,3,134000,2019,1,0,,3 emp; $0.1M rev; est 2019 (7y); single; phone; school
51.0,Darine Suarez School Bus,FL,1,2,89000,2017,1,0,,2 emp; $0.1M rev; est 2017 (9y); single; phone; school
51.0,Duque School Bus-After Sch Cr,FL,1,2,89000,2015,1,0,,2 emp; $0.1M rev; est 2015 (11y); single; phone; school
51.0,Franco School Trnsprtn LLC,FL,1,2,89000,2016,1,0,,2 emp; $0.1M rev; est 2016 (10y); single; phone; school
51.0,Isachi School Bus,FL,1,2,89000,2016,1,0,,2 emp; $0.1M rev; est 2016 (10y); single; phone; school
51.0,K & K School Transportation,FL,1,2,89000,2016,1,0,,2 emp; $0.1M rev; est 2016 (10y); single; phone; school
51.0,Lisset Valladares School Bus,FL,1,2,89000,2018,1,0,,2 emp; $0.1M rev; est 2018 (8y); single; phone; school
51.0,Lourdes Castaneda School Bus,FL,1,2,89000,2018,1,0,,2 emp; $0.1M rev; est 2018 (8y); single; phone; school
51.0,Mireya School Bus,FL,1,2,89000,2018,1,0,,2 emp; $0.1M rev; est 2018 (8y); single; phone; school
51.0,Riki School Bus,FL,1,2,89000,2018,1,0,,2 emp; $0.1M rev; est 2018 (8y); single; phone; school
51.0,Teresa School Bus,FL,1,2,89000,2018,1,0,,2 emp; $0.1M rev; est 2018 (8y); single; phone; school
51.0,Tito Y Tita School Bus,FL,1,2,89000,2018,1,0,,2 emp; $0.1M rev; est 2018 (8y); single; phone; school
51.0,Yanet School Bus,FL,1,2,89000,2018,1,0,,2 emp; $0.1M rev; est 2018 (8y); single; phone; school
51.0,Yordy School Bus,FL,1,2,89000,2018,1,0,,2 emp; $0.1M rev; est 2018 (8y); single; phone; school
51.0,E & M School Trnsprtn Svc,FL,1,1,69000,2017,1,0,,1 emp; $0.1M rev; est 2017 (9y); single; phone; school
49.5,Romy School Bus Transportation,FL,2,4,178000,2019,1,0,,4 emp; $0.2M rev; est 2019 (7y); small(2-5); phone; school
48.0,Sunshine City Sch Trnsprtn LLC,FL,1,2,84000,2023,1,0,,2 emp; $0.1M rev; est 2023 (3y); single; phone; school
